n_clusters,n_cubes,perc_overlap,Accuracy,Balanced Accuracy,AUROC
3,12,0.2,0.9638949671772429,0.563197239,0.6776976474290132
3,12,0.25,0.9642596644784829,0.568247744,0.6715360609924867
3,12,0.3,0.9642596644784829,0.5666273021551115,0.6758697667387287
3,12,0.35,0.9640165329443229,0.5616398567590395,0.6651640633857812
3,12,0.4,0.9640165329443229,0.5665011828462453,0.6685478401962195
3,12,0.45,0.963287138,0.5547797307161666,0.6663881001124033
3,12,0.5,0.9640165329443229,0.5632602987881081,0.6567728829048036
3,12,0.55,0.9636518356430829,0.5614506777957402,0.6622800927252939
3,12,0.6,0.963287138,0.5564001727452351,0.6693981900817567
3,13,0.1,0.9638949671772429,0.5648176811627436,0.6820572564676486
3,13,0.15,0.9640165329443229,0.5648807408171767,0.6734892117033624
3,13,0.2,0.9643812302455629,0.5715516878967504,0.6759287922738547
3,13,0.25,0.9635302698760029,0.5630080601703757,0.6749370358904978
3,13,0.3,0.9634087041089229,0.5661858845740798,0.6713364782478164
3,13,0.35,0.9634087041089229,0.561324558,0.6774851130381462
3,13,0.4,0.9635302698760029,0.5662489442285129,0.672022066
3,13,0.45,0.9635302698760029,0.5613876181413071,0.6726741072812455
3,13,0.5,0.9638949671772429,0.543751935,0.6688281053270333
3,13,0.55,0.9646243617797229,0.5489916187986563,0.6687960446946447
3,13,0.6,0.9637734014101629,0.5453093171594874,0.6652659779788044
3,14,0.1,0.963287138,0.5418161944836178,0.6717897858647008
3,14,0.15,0.963165573,0.5449940188873219,0.6547486043008807
3,14,0.2,0.9634087041089229,0.5483610222543254,0.6848855987461108
3,14,0.25,0.963165573,0.5482349029454592,0.6715386088573123
3,14,0.3,0.963044007,0.5481718432910261,0.6663146366765992
3,14,0.35,0.963165573,0.5466144609163905,0.6708551441178505
3,14,0.4,0.962922441,0.5464883416075244,0.6649069413604664
3,14,0.45,0.963287138,0.545057079,0.6755984191348046
3,14,0.5,0.9636518356430829,0.5501075835922601,0.6684210839211471
3,14,0.55,0.9636518356430829,0.5452462575050543,0.6725636998054705
3,14,0.6,0.963287138,0.545057079,0.6632790680589898
4,2,0.1,0.9602479941648432,0.5386192610937219,0.6062051973894577
4,2,0.15,0.9600048626306832,0.5465953519301987,0.6169801177368336
4,2,0.2,0.9590323364940433,0.5444704326656653,0.6049440043007959
4,2,0.25,0.9608558230002431,0.5470367695112304,0.6407308889967485
4,2,0.3,0.9607342572331632,0.5340101736242485,0.6756977858630022
4,2,0.35,0.9615852176027231,0.5279698230890059,0.6495808974683991
4,2,0.4,0.9608558230002431,0.5292119071914758,0.639013416
4,2,0.45,0.9635302698760029,0.5403218717634155,0.6568690648019694
4,2,0.5,0.9641380987114029,0.54063717,0.6570491139163104
4,2,0.55,0.962314612,0.5396912752190846,0.6667205964721415
4,2,0.6,0.962557744,0.5381969524988821,0.659275735
4,3,0.1,0.9612205203014831,0.5472259484745297,0.6248120418885963
4,3,0.15,0.9615852176027231,0.5506560114959661,0.6654608896379611
4,3,0.2,0.9614636518356431,0.550592952,0.6433452106298619
4,3,0.25,0.9636518356430829,0.5501075835922601,0.6802191843180619
4,3,0.3,0.962193046,0.5525917517972001,0.6469374877118602
4,3,0.35,0.9620714806710431,0.5395651559102184,0.653150456
4,3,0.4,0.963044007,0.5481718432910261,0.6342051702122329
4,3,0.45,0.963287138,0.5434366365126865,0.6534141600984835
4,3,0.5,0.9635302698760029,0.5451831978506212,0.6602685534454988
4,3,0.55,0.963165573,0.5433735768582534,0.663371428
4,3,0.6,0.963287138,0.5401957524545493,0.6711914622748272
4,4,0.1,0.9602479941648432,0.530517051,0.6114117591605294
4,4,0.15,0.9604911256990032,0.5338840543153823,0.6185236991769971
4,4,0.2,0.9612205203014831,0.5391237383291867,0.6201704691425968
4,4,0.25,0.9602479941648432,0.5467214712390649,0.6414064978196646
4,4,0.3,0.9620714806710431,0.5492878080846298,0.6538623719857166
4,4,0.35,0.962800875,0.5399435138368169,0.6666144354377422
4,4,0.4,0.9635302698760029,0.5435627558215527,0.6721759997078449
4,4,0.45,0.9637734014101629,0.5436888751304189,0.6741629096276593
4,4,0.5,0.962922441,0.5416270155203186,0.6685123824107302
4,4,0.55,0.963165573,0.5466144609163905,0.6742697076282647
4,4,0.6,0.962557744,0.5414378365570193,0.6607772771223395
4,5,0.1,0.9643812302455629,0.5504859415188587,0.645549114
4,5,0.15,0.9640165329443229,0.5486763205264908,0.6600969972139098
4,5,0.2,0.962436178,0.546236103,0.6440475720334466
4,5,0.25,0.9634087041089229,0.5499814642833939,0.6612286738406048
4,5,0.3,0.9640165329443229,0.5421945524102164,0.6583731543373365
4,5,0.35,0.9640165329443229,0.5470558784974222,0.6709243611122788
4,5,0.4,0.963165573,0.5417531348291847,0.6505287031835146
4,5,0.45,0.9638949671772429,0.5421314927557833,0.6628644030586267
4,5,0.5,0.9635302698760029,0.5435627558215527,0.6743714098992192
4,5,0.55,0.9638949671772429,0.5453723768139205,0.654804233
4,5,0.6,0.9640165329443229,0.5551580886427652,0.6811372649435457
4,6,0.1,0.9638949671772429,0.5648176811627436,0.6781469209265906
4,6,0.15,0.9638949671772429,0.563197239,0.6821570478399841
4,6,0.2,0.9635302698760029,0.5630080601703757,0.6783881187967454
4,6,0.25,0.9636518356430829,0.5679324459120145,0.6831076137419938
4,6,0.3,0.9642596644784829,0.5666273021551115,0.6826723535009573
4,6,0.35,0.9634087041089229,0.5629450005159427,0.6739943259050334
4,6,0.4,0.9640165329443229,0.5681216248753138,0.6785598873504032
4,6,0.45,0.9634087041089229,0.5597041164578055,0.6806317260977369
4,6,0.5,0.9638949671772429,0.5599563550755379,0.6807478662693697
4,6,0.55,0.9643812302455629,0.5634494777514074,0.6888698223671108
4,6,0.6,0.9641380987114029,0.5584620323553354,0.6815132873273876
4,7,0.1,0.9636518356430829,0.5646915618538774,0.6837789761235341
4,7,0.15,0.9640165329443229,0.5648807408171767,0.6823162893915825
4,7,0.2,0.9634087041089229,0.5548427903705997,0.6405729213775626
4,7,0.25,0.9637734014101629,0.5582728533920361,0.6528077682699955
4,7,0.3,0.962800875,0.5448048399240226,0.6622318956156769
4,7,0.35,0.963165573,0.5514757870035963,0.6467442746292538
4,7,0.4,0.963287138,0.5482979625998923,0.665722046
4,7,0.45,0.963044007,0.5433105172038203,0.670216055
4,7,0.5,0.9636518356430829,0.5468666995341229,0.6567185284551913
4,7,0.55,0.9640165329443229,0.5486763205264908,0.6595165086778152
4,7,0.6,0.9636518356430829,0.5436258154759858,0.6492755783334672
4,8,0.1,0.963044007,0.5465514012619574,0.6491698419432056
4,8,0.15,0.9638949671772429,0.5502337029011263,0.6664322631027133
4,8,0.2,0.9636518356430829,0.5517280256213287,0.6481963452577654
4,8,0.25,0.9648674933138828,0.5572199482528654,0.6505076832987037
4,8,0.3,0.9636518356430829,0.5533484676503972,0.6504064056718868
4,8,0.35,0.9645027960126429,0.5635125374058405,0.6677282770106582
4,8,0.4,0.9635302698760029,0.558146734,0.6727450228522244
4,8,0.45,0.962922441,0.5497292256656615,0.6598483680713471
4,8,0.5,0.9636518356430829,0.5533484676503972,0.6480139606006675
4,8,0.55,0.9637734014101629,0.5501706432466932,0.6489570952302697
4,8,0.6,0.9637734014101629,0.546929759,0.6517247133970554
4,9,0.1,0.963165573,0.5595779971489393,0.6448783882886544
4,9,0.15,0.9636518356430829,0.5565893517085344,0.6679512151828964
4,9,0.2,0.9635302698760029,0.550044524,0.6535137391487499
4,9,0.25,0.9635302698760029,0.5516649659668956,0.6567788279227301
4,9,0.3,0.963044007,0.5465514012619574,0.6524298349875345
4,9,0.35,0.9636518356430829,0.5501075835922601,0.6401026279951744
4,9,0.4,0.9637734014101629,0.5517910852757618,0.6678688342202027
4,9,0.45,0.963165573,0.5417531348291847,0.6458799114871759
4,9,0.5,0.9641380987114029,0.54063717,0.6642850500209563
4,9,0.55,0.9637734014101629,0.5453093171594874,0.6540152438752513
4,9,0.6,0.9619499149039631,0.5362612121976481,0.6481309500605754
4,10,0.1,0.9618283491368831,0.5491616887757637,0.6417861296786761
4,10,0.15,0.963165573,0.5514757870035963,0.6532060844710612
4,10,0.2,0.9637734014101629,0.5566524113629675,0.6450255274823317
4,10,0.25,0.9635302698760029,0.550044524,0.665277868
4,10,0.3,0.9641380987114029,0.5536007062681296,0.6565911352139124
4,10,0.35,0.9638949671772429,0.5534745869592634,0.6356109546297465
4,10,0.4,0.9642596644784829,0.5520433238934942,0.6647908011888337
4,10,0.45,0.9641380987114029,0.5454984961227867,0.6381414090456845
4,10,0.5,0.9638949671772429,0.5486132608720578,0.6428161040344167
4,10,0.55,0.962314612,0.5461730433353589,0.6292353475478711
4,10,0.6,0.962800875,0.5431843978949541,0.6536630015631151
4,11,0.1,0.9634087041089229,0.5451201381961881,0.644290468
4,11,0.15,0.9635302698760029,0.5451831978506212,0.6541662048661671
4,11,0.2,0.9640165329443229,0.551917205,0.6688616522139035
4,11,0.25,0.963165573,0.5530962290326649,0.6228179130184426
4,11,0.3,0.9634087041089229,0.5499814642833939,0.6483101498866414
4,11,0.35,0.9638949671772429,0.5583359130464692,0.6511520807775063
4,11,0.4,0.9647459275468028,0.5652590987437752,0.6532279536441473
4,11,0.45,0.9637734014101629,0.5615137374501733,0.6726842987405479
4,11,0.5,0.9640165329443229,0.560019415,0.6730813410092007
4,11,0.55,0.9640165329443229,0.5567785306718337,0.6616059701568593
4,11,0.6,0.9646243617797229,0.561955155,0.6728182739659596
4,12,0.1,0.9638949671772429,0.5518541449301949,0.6877564054383326
4,12,0.15,0.9635302698760029,0.5451831978506212,0.6961121281338207
4,12,0.2,0.9641380987114029,0.5471189381518553,0.6655330791413526
4,12,0.25,0.9635302698760029,0.5435627558215527,0.6585052186641291
4,12,0.3,0.963044007,0.5530331693782318,0.6716154694462173
4,12,0.35,0.9635302698760029,0.550044524,0.6727422626653299
4,12,0.4,0.9640165329443229,0.5551580886427652,0.6717473214509411
4,12,0.45,0.96267931,0.5463622222986582,0.6926824897565218
4,12,0.5,0.9635302698760029,0.550044524,0.6718628246563674
4,12,0.55,0.9635302698760029,0.5435627558215527,0.6736040779425821
4,12,0.6,0.963044007,0.5400696331456831,0.6792802961298356
4,13,0.1,0.9638949671772429,0.5567154710174006,0.6696145462698622
4,13,0.15,0.9635302698760029,0.550044524,0.6715963604600256
